Local government name,link,Successes,Challenges,Receipts,Disbursements,Interest,Dec. account balance,Notes,Percent spent (without interest),Public Input?,Spending explanations:
Jackson,https://www.documentcloud.org/documents/26017733-jackson-county/,None reported.,None reported.,"$316,299.00",$0.00,"$19,881.00","$336,180.00",,0.00%,TBD,None
Jefferson,https://www.documentcloud.org/documents/26017737-jefferson-county/,Worked closely with the local Drug Task Force and Drug Treatment Court to reach people in unique and engaging ways.The county is hiring a re-entry coordinator and plans to request proposals for sober living facilities. Educated residents on the opioid epidemic. ,"The county is located near Madison, Milwaukee and Chicago which contributes to a wide variety of drugs entering the region. A lack of transportation and child care create barriers to treatment. Provider capacity is insufficient to meet treatment needs. When compare with people with mental illness, people with Substance Use Disorder are more likely to be uninsured rates or rely on Medicaid.","$1,408,604.00","$183,765.00",$0.00,"$1,224,797.00",,13.05%,TBD,"County case manager position. Approved a future position responsible for jail reentry coordination, prevention, and anti-stigma efforts."
Juneau,https://www.documentcloud.org/documents/26017729-juneau-county/,"Continued to enroll people in recovery services, prevent people from developing an opioid addiction and prevent harm or death from use. Increased accessibility of Narcan and Fentanyl test strips. Installed two harm reduction vending machines.","Fatal overdoses are declining, but people are still using opioids. There are no inpatient treatment options in the region. A lack of public transportation creates a barrier for people trying to make treatment appointments. The county lacks sober housing and peer specialists. ","$311,586.00","$77,880.00","$27,561.00","$261,267.00",,24.99%,TBD,"Treatment for a someone with opioid use disorder and co-occurring mental health issues. Foster care for families impacted by opioid use. Preventions efforts (drug take back programs, lock boxes, disposal bags, overdose fatality review, fentanyl test strips). Narcan trainings and distribution."
Kenosha,https://www.documentcloud.org/documents/26017728-kenosha-county/,Held successful National Drug Take Back Day events. Provided three Narcan vending machines a robust Substance Abuse Coalition and Narcan education events. The county is projected to see a decrease in opioid related deaths. Engaged with the treatment and recovery community to identify Kenosha County's strengths and areas of improvement as it relates to the opioid crisis.,"A lack of transportation to treatment,  inadequate housing and a lack of centralization in community education and awareness. Local law enforcement agencies found Fentanyl in all types of street drugs. The rate of xylazine in toxicity panels continues to rise. ","$4,982,302.00","$492,394.00","$256,255.00","$4,746,163.00",,9.88%,TBD,Peer specialist training. School based prevention materials and staffer. Fentanyl detection advice for public health department. Research around spending needs. Expanding opioid and substance use disorder treatment. High school prevention program. Prevention specialist and Behavioral Health Director. Staff development training. Pro-E lab supplies for opioid use disorder treatment. Drug detection devices for Sheriff's Office.
Kewaunee,https://www.documentcloud.org/documents/26017770-kewaunee-county/,Not reported.,Not reported.,"$209,193.00","$2,100.00","$13,288.00","$220,381.00",,1.00%,TBD,Wellness check for first responders.
La Crosse,https://www.documentcloud.org/documents/26017754-la-crosse-county/,Not reported.,"""The County continues to be impacted in our jail, child protective services, and other various other programs due to the opioid epidemic.""","$2,210,074.00",$0.00,"$133,906.00","$2,343,980.00",,0.00%,TBD,None
Lafayette,https://www.documentcloud.org/documents/26017750-lafayette-county/,Not reported.,"""Developing a plan on how to utilize the funds to combat the epidemic.""","$179,594.00",$0.00,"$11,293*","$190,887.00",Confirmed 2022 interest with county official.,0.00%,TBD,None
Langlade,https://www.documentcloud.org/documents/26017747-langlade-county/,"County diversion program had eight new participants and eight graduations, with no recidivism or relapse. Interest and trust in the programs are slowly growing with each success. Attendance at annual community recovery even continues to grow.",A lack of available resources and counselors to battle Substance Use Disorder.,"$418,158.00","$1,580.00","$12,048.00","$428,626.00",,0.38%,TBD,Community event focused on addiction and recovery.
Lincoln,https://www.documentcloud.org/documents/26017748-lincoln-county/,The Community Needs Assessment will help identify meaningful ways to address the opioid epidemic.,"""Time and resources continue to constrain Lincoln County in its efforts to pull community members. together to collaborate on a response to the opioid epidemic and its abatement.""","$469,088*","$10,304*","$22,758*","$491,342*","$9,800 listed in disbursement not actually paid until 2025.",2.20%,TBD,Narcan. Community Substance Abuse Needs Assessment.
Manitowoc,https://www.documentcloud.org/documents/26017767-mantiwoc-county/,A significant reduction in overdose deaths.,The lack of access to affordable housing creates a bottleneck in treatment and recovery housing.,"$1,824,249.00","$550,000.00","$86,238.00","$1,360,487.00",,30.15%,TBD,Human Services department and opioid response and mitigation programming.
Marathon,https://www.documentcloud.org/documents/26018027-marathon-fixed/,"""The GAP analysis was the first step in identifying the county's needs.""","""Utilizing the funds in the most effective way for the county.""","$1,766,390.00","$70,000.00","$109,737.00","$1,806,127.00",,3.96%,TBD,GAP analysis.
Marinette,https://www.documentcloud.org/documents/26017752-marinette-county/,"The launch of a public health vending machine. Distributed Naloxone and medication lock boxes. Initiated the ED2 Recovery Program. Provided the Lifepoint needle exchange, Alcohol and Other Drug Abuse Community Workgroup, treatment drug court, criminal justice diversion program, teen sober parties and a community speaker event. Supported Bridges to Recovery Overdose Awareness Day. Increased marketing of Marinette County's Substance Use Disorder services. Offering Narcan training. Collaborated with jail staff to provide additional support and resources for people with Substance Use Disorder. Increased marketing for recovery services.",An increasing supply of Fentanyl and Xylazine is leading to more fatalities. There is a shortage of Substance Use Disorder counselors and available training hours. Fewer individuals with Opioid Use Disorders are seeking counseling services to assist with long term sobriety. Housing and transportation barriers for people seeking recovery.. A lack of providers leads to long waiting periods for treatment. Difficulties securing funding for resources to support diversion programming.,"$674,146.00","$30,868.00",$0.00,"$643,278.00",,4.58%,TBD,Diversion program. Opioid Use Disorder treatment room and board.
Marquette,https://www.documentcloud.org/documents/26017755-marquette/,Transitional housing project. Funded a two-year rental agreement to house drug court participants who need additional support in their recovery process. Increased in-house counseling services for the county’s incarcerated population.,None reported.,"$329,702.00","$106,954.00",$0.00,"$222,748.00",,32.44%,TBD,Narcan and Narcan training. K-9 unit for drug task force. Library laptops to promote drug treatment education and behavioral health programs. Part-time addiction professional for incarcerated clients. Narcan. Narcan trainings with provided lunch. AmeriCorps providing school-based prevention programming. Harbor Recovery Center counseling services.
Menominee,https://www.documentcloud.org/documents/26017759-menominee-county/,"""Continuous training, Room and board for Substance abuse victims."" ",None reported.,"$107,220.00","$64,181.00",$0.00,"$43,039.00",,59.86%,TBD,"""Sheriff - training"". ""HSD - Room and board""."
Milwaukee,https://www.documentcloud.org/documents/26017751-milwaukee-county/,"Funded innovative, life-saving strategies and expanded impactful existing programs. Milwaukee County received the Award for Excellence from the John Hopkins Bloomberg School of Public Health for the county’s efforts to combat the opioid epidemic and save lives through the effective utilization of opioid litigation settlement dollars. Placed eight additional Harm Reduction Vending Machines in the community. Expanded Medication-Assisted Treatment options for incarcerated populations. ","Difficulties launching new projects with varying levels of complexity due to hiring and contracting needs. The proposal process delayed the immediate use of funds to ensure the proper procurement practices were in place. Learned to balance the desire to aware projects with the need to provide department more lead time to get their projects off the ground.","$33,802,471.00","$5,882,583*",$0*,"$27,919,888.00",,17.40%,TBD,Grants to community-based organizations serving historically underserved and/or adversely affected groups for addiction-related services. Harm reduction data analytics. Harm reduction kits for emergency responders. Harm reduction supplies. Homeless outreach project. Five autopsy carts. Three positions in the Medical Examiner's office. Medication-Assisted Treatment for incarcerated individuals. Narcan deployment and education through the Sheriff's Office. Emergency Medical Services Opioid Educator. Medication-Assisted Treatment through Emergency Medical Services. Portable body cooler. Residential substance abuse treatment. Substance use education and treatment for incarcerated youth. Aging and Disabilities Services Opioid Prevention Project. Filling gaps in community paramedic coverage. Grief outreach and care after overdose deaths. Overdose prediction model. Pre/post incarceration access to treatment and healing. Research and education on the prevalence of overdoses in Black and Brown communities. Harm reduction beds. Expanding Substance Use Disorder treatment network.
Monroe,https://www.documentcloud.org/documents/26017756-monroe-county/,"Increased collaboration between county departments and local community partners.Provided harm reduction services through the Wisconsin Harm Reduction Response Team and Vivent Health including, syringe disposal and services, wound care supplies, overdose reversal supplies and safer sex supplies and testing. Discussed the needs of communities Discussed the needs of communities and compiled four key projects that will address crucial areas, including prevention, support for high-risk and high need individuals, assistance for incarcerated populations, and community safety concerning needle use. ",The lack of housing and transportation availability for indigent individuals suffering from substance use and mental health issues which the county hopes to address through a drug court partnership with local landlords. Community resistance to harm reduction efforts. A lack of information on how to appropriately use opioid settlement funds. The county was not awarded treatment grants from the health department for the jail. County departments have limited capacities to undertake new projects.,"$877,864.00",$0.00,"$48,540.00","$926,405.00",,0.00%,TBD,None
Oconto,https://www.documentcloud.org/documents/26017773-oconto-county/,"""A committee has been created involving Oconto Sheriff's department, Public Health, and members of the public, to create a valuable partnership.""",None reported.,"$450,324.00",$0.00,"$29,064.00","$479,388.00",,0.00%,TBD,None
Oneida,https://www.documentcloud.org/documents/26017766-oneida-county/,"Implemented a Post Charge Diversion Program. Received a grant to enhance and increase the number of available AmeriCorps Recovery Workers and provide a county position to coordinate the program and coaches. Provided monthly sober events including an event with local speakers and recovery resources. The county combined the Social Services Department and the Community Programs Agency which will allow for better coordination and services to residents with substance use disorders. In 2025, an additional Substance Use Disorder Counselor for the Human Service Department will start.",A lack of resources and providers in our rural community. Relapses resulting in the need for longer involvement of Child Protective Service involvement.,"$704,972.00",$0.00,"$60,510.00","$765,482.00",Received audited numbers and 2022 interest from county.,0.00%,TBD,None
Outagamie,https://www.documentcloud.org/documents/26017758-outagamie-county/,The Community Overdose Action Team saw immediate engagement from community stakeholders and partners and momentum is expected as the county works on selected initiatives. The Naloxone saturation plan helped reduce stigma related to substance use and overdose prevention. Provided innovative programming with Post-Release Overdose Prevention kits in joint partnership with the Outagamie County Jail.,Continued overdoses and criminal activity related to drug use. Mental health commitments stemming from opioid and associated drug use. Insufficient resources for community treatment  and  educational resources for people seeking treatment. A high level of children placed out of home due to parent's drug use.,"$2,105,855*","$338,895*","$152,070*","$1,882,296*",December balance does not match total receipts minus disbursements.,16.09%,TBD,Public Service Announcement with Brown County about opioid treatment options. Sheriff's Department opioid testing. Community Overdose Action Team and community assessment. Post-release overdose prevention kits for jail. Strategies to increase Naloxone availability Overdose Aid Kits. Medication lock boxes. Opioid simulations in schools and community. Community Health Education Substance Use prevention position. Substance use discharge planner for incarcerated people.
Ozaukee,https://www.documentcloud.org/documents/26017757-ozaukee-county/,"Collaborative initiatives between public health agencies, law enforcement, and community organizations have led to increased availability of Naloxone (although shortages in supply still exist, expanded educational outreach and the continued diversion and recovery programs.","Limited access to treatment facilities. Stigma surrounding addiction. The influx of synthetic opioids such as fentanyl, which have led to more frequent and deadly overdoses.","$737,889.00","$83,590.00","$65,001.00","$719,299.00",,11.33%,TBD,Substance use discharge planner for incarcerated people
Pepin,https://www.documentcloud.org/documents/26017764-pepin-county/,County staff continue to make themselves aware of new initiatives and continually assess if a similar initiative would address the county’s needs. The county plans to partner with other countries and agencies if possible to determine the best use of the funds.,Difficulties finding resources to solely dedicate to opioid abatement initiatives. Continued offering existing resources to residents with needs that result from the opioid epidemic.,"$73,714.00",$0.00,"$4,651.00","$78,365.00",,0.00%,TBD,None
Pierce,https://www.documentcloud.org/documents/26017761-pierce-county/,Supported Parent Recovery Cafes which typically have 12-15 attendees. Created an ad hoc committee that exclusively focuses on how to use the Opioid Settlement funds. The committee has identified specific recommendations on how to begin to utilize the funding. There was significant collaboration between the Human Services and Sheriff's Department.,"Limited resources in the rural region, including access to transportation. The county needs to make sure effective programming can be sustained after settlement funds are depleted.","$518,687.00","$33,967.00","$34,434.00","$519,155.00",,6.55%,TBD,Parent recovery cafes. Co-responder/Drug Tester.
Portage,https://www.documentcloud.org/documents/26017768-portage-county/,"Provided health and safety education along with sterile syringes, syringe disposal, Narcan and Narcan training, Hope Kits, and safe sex supplies as well as other equipment meant to reduce the transmission of HIV and Hepatitis C. ",The county has an opioid and meth crisis with continued overdoses. High demand for harm reduction supplies. Child welfare continues to experience high rates of referrals due to parents' substance use. ,"$977,043.00",$0.00,$0.00,"$977,043.00",,0.00%,TBD,None
Price,https://www.documentcloud.org/documents/26017774-price-county/,None reported.,None reported.,"$199,697.00",$370.00,"$12,231.00","$211,558.00",,0.19%,TBD,Optional questions not submitted.
Racine,https://www.documentcloud.org/documents/26018028-racine/,"Brought awareness to the epidemic through advertisement, community events and community outreach. Provided Narcan, Narcan training, Fentanyl test strips and walk-in substance use disorder counseling. Distributed Narcan to hospitals, law enforcement agencies and people leaving jail. The County is working to identify community hotspots for non-fatal overdoses. Placed two additional Narcan and Fentanyl test strip vending machines in high need areas. The county notified peer support and recovery coaches when the Sheriff's Department responds to non-fatal overdoses and peer support provides follow up service.",None reported.,"$4,299,525.00",$0.00,"$254,908,96","$4,554,434.00",,0.00%,TBD,None
Richland,https://www.documentcloud.org/documents/26017763-richland-county/,Created a Recovery Services Coordinator to connect those in the community with Substance Use Disorder to resources. Received a Medication-Assisted Treatment grant. Researched existing programs. Gathered information on the community and resources.,"""The biggest challenge to date has been the avoidance of treatment and then when individuals are ready for treatment, the limited number of providers in the community.""","$152,091.00","$3,000.00","$11,376.00","$160,467.00",Received corrected receipt totals from county.,1.97%,TBD,Opioid settlement funds use assessment.
Rock,https://www.documentcloud.org/documents/26017762-rock-county/,"Emergency department calls and visits were lower than the previous two years, likely due to Naloxone availability. Distributed Narcan. Opened four new sober living homes Started an.intensive outpatient program that partners with a local agency specialized in Medication-Assisted Treatment. Several agencies started prevention efforts. Increased substance use screening within the criminal justice system.","Stigma, connecting people to service and access to safe, affordable housing. Staffing shortages and turnover at organizations addressing the epidemic","$3,949,720.00","$783,387.00","$241,387.27","$3,408,129.00",Received corrected balance and interest totals from county. Received 2022 interest total from county.,19.83%,TBD,Teen Intervene in Janesville schools. Mental health curriculum at two Beloit afterschool programs. Gap analysis. Strengthening Families program. Expanded screening for people entering the criminal justice system in need of opioid treatment. Opioid Use Disorder medication for people leaving jail. New sober living home. New sober living home. New female sober living home. Beloit intensive outpatient program.
Rusk,https://www.documentcloud.org/documents/26017760-rusk-county/,Rusk County Opioid Task Force evaluated how to best utilize allocations.No deaths have been reported in Rusk County from opioids  Leaders in Rusk County continue to push for prevention as the primary focus as it relates to opioid use and plan to hire a prevention specialist.,Rusk County law enforcement continues to battle meth. Officers and ambulance staff utilized Narcan several times.,"$213,100.00",$0.00,"$17,143.00","$230,243.00",,0.00%,TBD,None
Sauk,https://www.documentcloud.org/documents/26017798-sauk-county/,"Received additional grant funding for opioid use prevention, harm reduction and recovery support. The Human Services Outpatient Clinic became a licensed Integrated Behavioral Health Clinic, providing  blended care for consumers experiencing mental health and substance use concems. The clinic also became licensed to provide Intensive Outpatient Programming treatment for substance use which filled a substantial service gap. Continued treatment service within the jail. ","A lack of affordable housing and few transportation options for people in need of treatment and recovery support. Demand for the Sauk County Recovery Connections program is growing, but the county received substantially fewer state funds for the program than requested. ","$1,645,798.00","$41,948.00","$103,014.00","$1,704,214.00",Subtracted interest from receipt total when included.,2.55%,TBD,WisHope Recovery Community Organization contract. Opioid recovery education.
Sawyer,https://www.documentcloud.org/documents/26017782-sawyer/,Led a successful campaign that started conversations about substance use issues. Distributed Narcan. The county saw a reduction in overdose deaths. ,None reported.,"$153,640.00","$17,311.00",$0.00,"$301,831.00",,11.27%,TBD,"2023 disbursements not specified ($17,311). Fentanyl Awareness Campaign. Recovery resource billboard campaign. AmeriCorps peer recovery coaches."
Shawano,https://www.documentcloud.org/documents/26017780-shawano-county/,"Decreasing overdose deaths. County health staff participate on various collaborative, multidisciplinary teams. Provided treatment, recovery and harm reduction services in the community. Opened Recovery Center and Women's Recovery Residence. ","Maintaining qualified staff who want to work in a small community. Smaller amounts of funding each year makes it difficult to start and maintain larger projects or add full-time staff. The number of people in need continues to grow.
","$560,225.00","$569,174.00","$8,949.00",$0.00,,101.60%,TBD,Drug Court Inpatient treatment. Narcan. Foster care placement costs.
Sheboygan,https://www.documentcloud.org/documents/26017799-sheboygan-county/,Supported a therapist focused solely on adolescents which allowed time for family counseling. Grew adolescent treatment and program options. Released incarcerated youth to attend treatment programming. Educated youth and parents on the dangers of THC carts by providing Narcan and Fentanyl test strips. Brought greater awareness around the risks of opioids. Saw more incarcerated people sign up for Vivitrol medication and request Narcan and Fentanyl test strips upon release. Some individuals from jail treatment programming have maintained sobriety and stayed engaged in treatment. Developed resource packets to connect people to services.,"Minimal training for Alcohol and Other Drug Abuse. The county would benefit from funding to increase training opportunities and incentives for youths enrolled in programming. Staff turnover at the county jail. Complications determining release date makes transitional programming difficult. Many program participants in jail struggle with substances beyond opioids, such as methamphetamine, which is outside the primary focus of the current program. Limited Alcohol and Other Drug Abuse interventions for adolescents and no peer support options. A lack of residential treatment funding. A lack of training on how to appropriately respond to and support adolescents struggling with substance use.  ","$1,831,965.00","$392,236.00","$87,720.00","$1,527,448.00",,21.41%,TBD,Youth dual diagnosis therapist. Jail Transitional planner.
St. Croix,https://www.documentcloud.org/documents/26017776-st-croix-county/,"""Too early to determine.""","""Too early to determine.""","$1,465,914.00","$307,837.00","$21,438.00","$1,179,516.00",,21.00%,TBD,Jail Mental Health Social Worker. Children Services/Behavioral Health Social Worker. Optional questions not submitted for 2024 disbursements.
Taylor,https://www.documentcloud.org/documents/26017795-taylor-county/,Improved access to residential treatment and connections to local resources. Increased understanding of the issue. Included new partners to local mental health efforts.,Limited local resources to treat substance use and provide ongoing sober living environments for people in recovery.,"$213,142.00","$40,333.00","$2,187.00","$174,995.00",,18.92%,TBD,Drug Court. Inpatient treatment. Narcan. Foster care placement costs.
